=============================================================================================================
IsPublic IsSerial Name                                     BaseType                                                                                                                            
-------- -------- ----                                     --------                                                                                                                            
True     True     Failsafe_DiscrepancyMonitoring           System.Enum                                                                                                                         
True     True     Failsafe_FCRCSeed                        System.Enum                                                                                                                         
True     True     Failsafe_FCheckSeqNr                     System.Enum                                                                                                                         
True     True     Failsafe_FCheckiPar                      System.Enum                                                                                                                         
True     True     Failsafe_FParVersion                     System.Enum                                                                                                                         
True     True     Failsafe_FPassivation                    System.Enum                                                                                                                         
True     True     Failsafe_FSIL                            System.Enum                                                                                                                         
True     True     Failsafe_F_CRC_Length                    System.Enum                                                                                                                         
True     True     Failsafe_InputDelay                      System.Enum                                                                                                                         
True     True     Failsafe_ManualAssignmentFIODBNumber     System.Enum                                                                                                                         
True     True     Failsafe_MaxReadbackTimeLightTestAndD... System.Enum                                                                                                                         
True     True     Failsafe_MaximumTestPeriod               System.Enum                                                                                                                         
True     True     Failsafe_OutputType                      System.Enum                                                                                                                         
True     True     Failsafe_ReintegrationAfterChannelFault  System.Enum                                                                                                                         
True     True     Failsafe_ReintegrationAfterDiscrepanc... System.Enum                                                                                                                         
True     True     Failsafe_SensorEvaluation                System.Enum                                                                                                                         
True     True     Failsafe_SensorSupply                    System.Enum                                                                                                                         
True     True     Failsafe_SequenceMonitoring              System.Enum                                                                                                                         
True     True     HardwareResource                         System.Enum                                                                                                                         
True     False    HwIdentifier                             System.Object                                                                                                                       
True     False    HwIdentifierAssociation                  System.Object                                                                                                                       
True     False    HwIdentifierComposition                  System.Object                                                                                                                       
True     True     InterfaceOperatingModes                  System.Enum                                                                                                                         
True     True     InterfaceType                            System.Enum                                                                                                                         
True     False    IoConnector                              System.Object                                                                                                                       
True     False    IoConnectorAssociation                   System.Object                                                                                                                       
True     False    IoConnectorComposition                   System.Object                                                                                                                       
True     False    IoController                             System.Object                                                                                                                       
True     False    IoControllerComposition                  System.Object                                                                                                                       
True     False    IoSystem                                 System.Object                                                                                                                       
True     False    IoSystemAssociation                      System.Object                                                                                                                       
True     True     IpProtocolSelection                      System.Enum                                                                                                                         
True     True     IsochronousTiToCalculationMode           System.Enum                                                                                                                         
True     True     LengthOfIORange                          System.Enum                                                                                                                         
True     True     MeasuringTemperatureCoefficient          System.Enum                                                                                                                         
True     True     MediaRedundancyRole                      System.Enum                                                                                                                         
True     True     MediumAttachmentType                     System.Enum                                                                                                                         
True     True     MotorProtectionClass                     System.Enum                                                                                                                         
True     True     MotorProtectionReset                     System.Enum                                                                                                                         
True     True     MotorProtectionResponseToPrewarning      System.Enum                                                                                                                         
True     True     MotorProtectionResponseToTripLevel       System.Enum                                                                                                                         
True     True     MotorProtectionStalledRotorResponse      System.Enum                                                                                                                         
True     True     MotorProtectionTypeOfLoad                System.Enum                                                                                                                         
True     True     MotorProtectionUnbalanceResponse         System.Enum                                                                                                                         
True     True     NetType                                  System.Enum                                                                                                                         
True     False    Node                                     System.Object                                                                                                                       
True     False    NodeAssociation                          System.Object                                                                                                                       
True     False    NodeComposition                          System.Object                                                                                                                       
True     True     OpcUaSecurityPolicies                    System.Enum                                                                                                                         
True     True     OperatingHoursMonitoringResponse         System.Enum                                                                                                                         
True     True     OperatingMode                            System.Enum                                                                                                                         
True     True     OperatingRange                           System.Enum                                                                                                                         
True     True     OperatingType                            System.Enum                                                                                                                         
True     True     OperatingTypeAndRange                    System.Enum                                                                                                                         
True     True     PcInterfaceAssignmentMode                System.Enum                                                                                                                         
True     True     PcStationType                            System.Enum                                                                                                                         
True     True     PlcProtectionAccessLevel                 System.Enum                                                                                                                         
True     True     ResponseToOvershoot                      System.Enum                                                                                                                         
True     True     ResponseToPrewarning                     System.Enum                                                                                                                         
True     True     RetentiveDataMemoryUsage                 System.Enum                                                                                                                         
True     True     RtClass                                  System.Enum                                                                                                                         
True     True     SignalDelaySelection                     System.Enum                                                                                                                         
True     False    Software                                 System.Object                                                                                                                       
True     True     StopTimeOperatingHoursMonitoringResponse System.Enum                                                                                                                         
True     False    Subnet                                   System.Object                                                                                                                       
True     False    SubnetComposition                        System.Object                                                                                                                       
True     True     SyncRole                                 System.Enum                                                                                                                         
True     True     TemperatureUnit                          System.Enum                                                                                                                         
True     True     ThermistorResponseToSensorFault          System.Enum                                                                                                                         
True     True     ThermistorResponseToTripLevel            System.Enum                                                                                                                         
True     False    TransferArea                             System.Object                                                                                                                       
True     False    TransferAreaComposition                  System.Object                                                                                                                       
True     True     TransferAreaDirection                    System.Enum                                                                                                                         
True     False    TransferAreaMappingRule                  System.Object                                                                                                                       
True     False    TransferAreaMappingRuleComposition       System.Object                                                                                                                       
True     True     TransferAreaType                         System.Enum                                                                                                                         
True     True     TransmissionRateAndDuplex                System.Enum                                                                                                                         
True     True     TypeOfConsumerLoad                       System.Enum                                                                                                                         
True     True     View                                     System.Enum                                                                                                                         
True     False    PlugLocation                             System.Object                                                                                                                       
True     False    HardwareFeature                          System.Object                                                                                                                       
True     False    DeviceItemFeature                        Siemens.Engineering.HW.Features.HardwareFeature                                                                                     
True     False    AddressController                        Siemens.Engineering.HW.Features.DeviceItemFeature                                                                                   
True     False    AddressControllerAssociation             System.Object                                                                                                                       
True     False    DeviceFeature                            Siemens.Engineering.HW.Features.HardwareFeature                                                                                     
True     False    FrontPanelDisplay                        Siemens.Engineering.HW.Features.DeviceItemFeature                                                                                   
True     False    IGsdObject                                                                                                                                                                   
True     False    GsdDevice                                Siemens.Engineering.HW.Features.DeviceFeature                                                                                       
True     False    GsdDeviceItem                            Siemens.Engineering.HW.Features.DeviceItemFeature                                                                                   
True     False    HwIdentifierController                   Siemens.Engineering.HW.Features.DeviceItemFeature                                                                                   
True     False    HwIdentifierControllerAssociation        System.Object                                                                                                                       
True     False    NetworkInterface                         Siemens.Engineering.HW.Features.DeviceItemFeature                                                                                   
True     False    NetworkPort                              Siemens.Engineering.HW.Features.DeviceItemFeature                                                                                   
True     False    NetworkPortAssociation                   System.Object                                                                                                                       
True     False    PcInterfaceAssignment                    Siemens.Engineering.HW.Features.DeviceItemFeature                                                                                   
True     False    PlcAccessLevelProvider                   Siemens.Engineering.HW.Features.DeviceItemFeature                                                                                   
True     False    SoftwareContainer                        Siemens.Engineering.HW.Features.DeviceItemFeature                                                                                   
True     False    SubnetOwner                              Siemens.Engineering.HW.Features.DeviceItemFeature                                                                                   
True     False    HardwareUtility                          System.Object                                                                                                                       
True     False    CardReaderPscProvider                    Siemens.Engineering.HW.Utilities.HardwareUtility                                                                                    
True     False    HardwareUtilityComposition               System.Object                                                                                                                       
True     False    ModuleInformationProvider                Siemens.Engineering.HW.Utilities.HardwareUtility                                                                                    
True     False    OpcUaExportProvider                      Siemens.Engineering.HW.Utilities.HardwareUtility                                                                                    
True     False    IInstanceSearchScope                                                                                                                                                         
True     False    IUpdateProjectScope                                                                                                                                                          
True     False    HmiTarget                                Siemens.Engineering.HW.Software                                                                                                     
True     False    Connection                               System.Object                                                                                                                       
True     False    ConnectionComposition                    System.Object                                                                                                                       
True     False    Cycle                                    System.Object                                                                                                                       
